DEBUG 2025-03-25 23:18:52,170 autoreload File C:\Users\alonv\Documents\pyton\proyecto_parcial2\env\Lib\site-packages\django\template\loader.py first seen with mtime 1740858008.9009025
DEBUG 2025-03-25 23:18:52,170 autoreload File C:\Users\alonv\Documents\pyton\proyecto_parcial2\env\Lib\site-packages\django\db\models\fields\reverse_related.py first seen with mtime 1740858008.791958
DEBUG 2025-03-25 23:18:52,170 autoreload File C:\Users\alonv\AppData\Local\Programs\Python\Python38\Lib\ipaddress.py first seen with mtime 1613764526.0
DEBUG 2025-03-25 23:18:52,170 autoreload File C:\Users\alonv\Documents\pyton\proyecto_parcial2\env\Lib\site-packages\django\core\checks\security\__init__.py first seen with mtime 1740858008.6634054
DEBUG 2025-03-25 23:18:52,170 autoreload File C:\Users\alonv\Documents\pyton\proyecto_parcial2\env\Lib\site-packages\django\db\backends\base\base.py first seen with mtime 1740858008.72316
DEBUG 2025-03-25 23:18:52,170 autoreload File C:\Users\alonv\Documents\pyton\proyecto_parcial2\env\Lib\site-packages\django\contrib\sessions\apps.py first seen with mtime 1740858008.239963
DEBUG 2025-03-25 23:18:52,170 autoreload File C:\Users\alonv\Documents\pyton\proyecto_parcial2\env\Lib\site-packages\django\contrib\admin\widgets.py first seen with mtime 1740858005.734173
DEBUG 2025-03-25 23:18:52,170 autoreload File C:\Users\alonv\AppData\Local\Programs\Python\Python38\Lib\signal.py first seen with mtime 1613764526.0
DEBUG 2025-03-25 23:18:52,170 autoreload File C:\Users\alonv\Documents\pyton\proyecto_parcial2\tienda\productos\models.py first seen with mtime 1740957200.2983022
DEBUG 2025-03-25 23:18:52,171 autoreload File C:\Users\alonv\Documents\pyton\proyecto_parcial2\env\Lib\site-packages\PIL\TiffTags.py first seen with mtime 1740858906.4808817
DEBUG 2025-03-25 23:18:52,171 autoreload File C:\Users\alonv\Documents\pyton\proyecto_parcial2\env\Lib\site-packages\django\contrib\staticfiles\finders.py first seen with mtime 1740858008.6270168
